,conductivity,GUID,run_order,Temp (C) 2,postdata,endpoint,output_cid,LiPF6_molalitt,EC_mass_fraction,DMC_cosolvent_ratio,sampling,expt_time,feeder_volume_valve_derate,feeder_densities,feeder_volumes
83,13.10311527,DCDD07BDEBA5151D7C9C5D757D2672AA,1,27.21766234,"[('ECEMC3070', '190-15-0.9'), ('DMCEC7030', '570-18-0.9'), ('DMCEC7030LiPF61.5', '1140-1-0.7')]",RUNfast_derated2,DMC_EC_EMC|63_30_7|LiPF6|0.87,0.87,0.3,0.9,BO,16,"[('EC_EMC|30_70', '190-15-0.9'), ('DMC_EC|70_30', '570-18-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1140-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|70_30': 1.14, 'EC_EMC|30_70': 1.095}","{'EC_EMC|30_70': 190, 'DMC_EC|70_30': 570, 'DMC_EC|70_30|LiPF6|1.5': 1140}"
84,12.9093865,67CE29DD4F6E369D5BD13CB096B78313,2,27.15636364,"[('ECEMC3070', '190-15-0.9'), ('DMCEC7030', '570-18-0.9'), ('DMCEC7030LiPF61.5', '1140-1-0.7')]",RUNfast_derated2,DMC_EC_EMC|63_30_7|LiPF6|0.87,0.87,0.3,0.9,BO,17,"[('EC_EMC|30_70', '190-15-0.9'), ('DMC_EC|70_30', '570-18-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1140-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|70_30': 1.14, 'EC_EMC|30_70': 1.095}","{'EC_EMC|30_70': 190, 'DMC_EC|70_30': 570, 'DMC_EC|70_30|LiPF6|1.5': 1140}"
85,12.86093226,E348DA45E077987B66F5A79326830176,3,27.11168831,"[('ECEMC3070', '190-15-0.9'), ('DMCEC7030', '570-18-0.9'), ('DMCEC7030LiPF61.5', '1140-1-0.7')]",RUNfast_derated2,DMC_EC_EMC|63_30_7|LiPF6|0.87,0.87,0.3,0.9,BO,16,"[('EC_EMC|30_70', '190-15-0.9'), ('DMC_EC|70_30', '570-18-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1140-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|70_30': 1.14, 'EC_EMC|30_70': 1.095}","{'EC_EMC|30_70': 190, 'DMC_EC|70_30': 570, 'DMC_EC|70_30|LiPF6|1.5': 1140}"
86,13.65705451,089805B6A867D67C659BF59C6D9ED801,1,27.26077922,"[('DMCEC7030', '380-18-0.9'), ('DMCEC5050', '190-19-0.9'), ('DMCEC7030LiPF61.5', '1330-1-0.7')]",RUNfast_derated2,DMC_EC|68_32|LiPF6|1.01,1.01,0.32,1,BO,16,"[('DMC_EC|70_30', '380-18-0.9'), ('DMC_EC|50_50', '190-19-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1330-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|50_50': 1.192, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 380, 'DMC_EC|50_50': 190, 'DMC_EC|70_30|LiPF6|1.5': 1330}"
87,13.45773955,74AC87EC4ADDE82A5F9A5282B6D9C71B,2,27.16623377,"[('DMCEC7030', '380-18-0.9'), ('DMCEC5050', '190-19-0.9'), ('DMCEC7030LiPF61.5', '1330-1-0.7')]",RUNfast_derated2,DMC_EC|68_32|LiPF6|1.01,1.01,0.32,1,BO,17,"[('DMC_EC|70_30', '380-18-0.9'), ('DMC_EC|50_50', '190-19-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1330-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|50_50': 1.192, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 380, 'DMC_EC|50_50': 190, 'DMC_EC|70_30|LiPF6|1.5': 1330}"
88,13.43461727,E418C35F98BCC94D51596C94D72175A2,3,27.12727273,"[('DMCEC7030', '380-18-0.9'), ('DMCEC5050', '190-19-0.9'), ('DMCEC7030LiPF61.5', '1330-1-0.7')]",RUNfast_derated2,DMC_EC|68_32|LiPF6|1.01,1.01,0.32,1,BO,16,"[('DMC_EC|70_30', '380-18-0.9'), ('DMC_EC|50_50', '190-19-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1330-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|50_50': 1.192, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 380, 'DMC_EC|50_50': 190, 'DMC_EC|70_30|LiPF6|1.5': 1330}"
89,13.66089295,A20F24A618D57E5AD7ED225F4CD25A2E,1,27.25922078,"[('DMCEC7030', '570-18-0.9'), ('DMCEC7030LiPF61.5', '1330-1-0.7')]",RUNfast_derated2,DMC_EC|70_30|LiPF6|1.02,1.02,0.3,1,BO,13,"[('DMC_EC|70_30', '570-18-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1330-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 570, 'DMC_EC|70_30|LiPF6|1.5': 1330}"
90,13.42026048,44B812A6342923CB2A8DE76636A8B934,2,27.20311688,"[('DMCEC7030', '570-18-0.9'), ('DMCEC7030LiPF61.5', '1330-1-0.7')]",RUNfast_derated2,DMC_EC|70_30|LiPF6|1.02,1.02,0.3,1,BO,13,"[('DMC_EC|70_30', '570-18-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1330-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 570, 'DMC_EC|70_30|LiPF6|1.5': 1330}"
91,13.40045873,81D4E958A6E94DA00C41035413E13644,3,27.17454545,"[('DMCEC7030', '570-18-0.9'), ('DMCEC7030LiPF61.5', '1330-1-0.7')]",RUNfast_derated2,DMC_EC|70_30|LiPF6|1.02,1.02,0.3,1,BO,13,"[('DMC_EC|70_30', '570-18-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1330-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 570, 'DMC_EC|70_30|LiPF6|1.5': 1330}"
92,11.35058706,54ECA13B42576966198E976D4E8036B2,1,27.24415584,"[('ECEMC3070LiPF61.5', '570-2-0.7'), ('DMCEC7030LiPF61.5', '1140-1-0.7'), ('ECEMC5050LiPF61.5', '190-5-0.7')]",RUNfast_derated2,DMC_EC_EMC|42_32_26|LiPF6|1.5,1.5,0.32,0.617647059,BO,16,"[('EC_EMC|30_70|LiPF6|1.5', '570-2-0.7'), ('DMC_EC|70_30|LiPF6|1.5', '1140-1-0.7'), ('EC_EMC|50_50|LiPF6|1.5', '190-5-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'EC_EMC|30_70|LiPF6|1.5': 1.225, 'EC_EMC|50_50|LiPF6|1.5': 1.287}","{'EC_EMC|30_70|LiPF6|1.5': 570, 'DMC_EC|70_30|LiPF6|1.5': 1140, 'EC_EMC|50_50|LiPF6|1.5': 190}"
